subnet,f,fmin,fmax,min_v,max_v,avg_v,ngen_Qll,ngen_Qul,ngen,minQloss,maxQloss,n_negQloss,n_s_bound,max_ang_diff,min_ang_diff,nbranch,total_loss,converter_loss,cost,objective,time_s,status,network
2,1.0,1.0,1.0,1.0886320905524267,1.1,1.0943160452762135,0,0,0,-0.04840963704973526,-0.04840963704973526,1,0,-0.04344952915189889,-0.04344952915189889,1,0.0,6.155825471429636e-41,0.0,238388.47951631504,2.381458825,LOCALLY_SOLVED,trial 1
1,60.0,60.0,60.0,0.9556811515933978,1.05,1.0338988885222269,1,23,96,-2.59508655043825,0.4694424769344947,67,0,6.285029429980238,-14.30679503606306,119,1.4323733716903746,6.155825471429636e-41,238388.47951631504,238388.47951631504,2.381458825,LOCALLY_SOLVED,trial 1
2,11.0,11.0,11.0,1.0886696526373716,1.1,1.0943348263186858,0,0,0,-0.5325244423406388,-0.5325244423406388,1,0,-0.47793382695258263,-0.47793382695258263,1,0.0,1.0703373934123206e-40,0.0,238388.47951631484,0.34802859,LOCALLY_SOLVED,trial 2
1,60.0,60.0,60.0,0.9556811515933984,1.05,1.0338988885222242,1,23,96,-2.5950865504382374,0.4694424769344867,67,0,6.285029429980241,-14.306795036063024,119,1.4323733716903462,1.0703373934123206e-40,238388.47951631484,238388.47951631484,0.34802859,LOCALLY_SOLVED,trial 2
2,21.0,21.0,21.0,1.088769811861829,1.1,1.0943849059309145,0,0,0,-1.0167314215993988,-1.0167314215993988,1,0,-0.9123631646571966,-0.9123631646571966,1,0.0,1.1923990635166448e-40,0.0,238388.47951631487,0.339250758,LOCALLY_SOLVED,trial 3
1,60.0,60.0,60.0,0.9556811515933986,1.05,1.0338988885222244,1,23,96,-2.595086550438241,0.4694424769344897,67,0,6.28502942998024,-14.306795036063022,119,1.432373371690332,1.1923990635166448e-40,238388.47951631487,238388.47951631487,0.339250758,LOCALLY_SOLVED,trial 3
2,31.0,31.0,31.0,1.0889325509339827,1.1,1.0944662754669914,0,0,0,-1.5011143692901108,-1.5011143692901108,1,0,-1.346687617182544,-1.346687617182544,1,0.0,0.0,0.0,238388.47951653413,0.308409401,LOCALLY_SOLVED,trial 4
1,60.0,60.0,60.0,0.9556811515861777,1.05,1.0338988884982931,0,23,96,-2.5950865504066956,0.46944247694660335,67,0,6.285029430130344,-14.306795036184464,119,1.4323733717875058,0.0,238388.47951653413,238388.47951653413,0.308409401,LOCALLY_SOLVED,trial 4
2,41.0,41.0,41.0,1.0891578418392214,1.1,1.0945789209196106,0,0,0,-1.9857570800147837,-1.9857570800147837,1,0,-1.7808573316426166,-1.7808573316426166,1,0.0,6.635726350700186e-42,0.0,238388.4795165342,0.335672506,LOCALLY_SOLVED,trial 5
1,60.0,60.0,60.0,0.9556811515861775,1.05,1.0338988884982467,0,23,96,-2.5950865504066805,0.4694424769465987,67,0,6.2850294301303515,-14.306795036184445,119,1.43237337178752,6.635726350700186e-42,238388.4795165342,238388.4795165342,0.335672506,LOCALLY_SOLVED,trial 5
2,51.0,51.0,51.0,1.0894456457736312,1.1,1.0947228228868155,0,0,0,-2.470743348343481,-2.470743348343481,1,0,-2.21482256176976,-2.21482256176976,1,0.0,2.071264794789056e-40,0.0,238388.47951631495,0.337603583,LOCALLY_SOLVED,trial 6
1,60.0,60.0,60.0,0.9556811515933978,1.05,1.0338988885222276,1,23,96,-2.5950865504382383,0.4694424769344794,67,0,6.285029429980274,-14.306795036062919,119,1.4323733716903604,2.071264794789056e-40,238388.47951631495,238388.47951631495,0.337603583,LOCALLY_SOLVED,trial 6
